q_id,web_list
1,"[372, 114, 1617, 1607, 625]"
2,"[1607, 368, 1157, 369, 1608]"
3,"[1724, 1536, 114, 1548, 78]"
4,"[478, 1924, 1915, 1543, 1900]"
5,"[1586, 1587, 1914, 1621, 1029]"
6,"[1543, 1900, 697, 1304, 1931]"
7,"[1528, 1906, 1928, 1547, 1901]"
8,"[1607, 871, 1157, 368, 1927]"
9,"[1607, 1586, 1538, 1615, 1556]"
10,"[1884, 478, 1924, 465, 127]"
11,"[1543, 1900, 1897, 1922, 88]"
12,"[1567, 1611, 1896, 109, 1712]"
13,"[1884, 928, 1587, 1897, 1922]"
14,"[363, 372, 368, 741, 757]"
15,"[1607, 1676, 653, 1123, 1495]"
16,"[1921, 1888, 1584, 1077, 1885]"
17,"[368, 1607, 1157, 363, 369]"
18,"[1607, 1563, 1583, 1584, 1596]"
19,"[1543, 1900, 1915, 1106, 1552]"
20,"[1543, 1900, 1915, 48, 326]"
21,"[478, 1924, 1884, 1543, 1900]"
22,"[1543, 1900, 1548, 1536, 1619]"
23,"[1583, 1932, 1908, 1193, 1587]"
24,"[1541, 1553, 1628, 1196, 1624]"
25,"[1897, 1922, 1926, 1536, 1917]"
26,"[1607, 1157, 368, 1005, 1315]"
27,"[1541, 1538, 1615, 1553, 1628]"
28,"[1900, 1543, 867, 1926, 1907]"
29,"[1607, 1548, 1528, 1906, 1884]"
30,"[1884, 1489, 1532, 1589, 1904]"
31,"[961, 203, 928, 202, 953]"
32,"[1543, 1900, 1915, 1536, 1917]"
33,"[1884, 16, 18, 1194, 1204]"
34,"[1676, 1674, 1677, 904, 372]"
35,"[368, 1607, 369, 1157, 1186]"
36,"[58, 57, 1050, 1544, 1553]"
37,"[852, 741, 757, 481, 1186]"
38,"[1607, 368, 1157, 1608, 369]"
39,"[1884, 1536, 478, 1924, 1042]"
40,"[1543, 1900, 1072, 1562, 697]"
41,"[1541, 1524, 1559, 1525, 1572]"
42,"[1157, 1544, 884, 891, 1930]"
43,"[636, 1324, 808, 1676, 1721]"
44,"[1572, 926, 1921, 1558, 679]"
45,"[57, 58, 138, 937, 54]"
46,"[926, 1917, 953, 286, 177]"
47,"[1543, 1900, 1897, 1922, 1554]"
48,"[1528, 1906, 114, 321, 1532]"
49,"[408, 57, 110, 1123, 1547]"
50,"[1932, 1908, 926, 194, 1193]"
51,"[1186, 741, 372, 368, 768]"
52,"[1543, 1900, 1552, 1902, 1915]"
53,"[372, 114, 1607, 1617, 625]"
54,"[679, 680, 681, 718, 1607]"
55,"[1186, 741, 768, 372, 770]"
56,"[113, 457, 698, 1428, 1882]"
57,"[368, 1607, 1157, 369, 1186]"
58,"[1607, 1930, 349, 369, 679]"
59,"[903, 16, 18, 1194, 1204]"
60,"[1178, 1600, 1123, 688, 1179]"
61,"[452, 1157, 1080, 1158, 342]"
62,"[1915, 1543, 1900, 623, 54]"
63,"[1543, 1900, 1915, 688, 326]"
64,"[1554, 1563, 1583, 1598, 1527]"
65,"[114, 1573, 737, 1617, 1006]"
66,"[1915, 1543, 1900, 623, 1917]"
67,"[739, 959, 801, 1530, 1613]"
68,"[636, 1073, 632, 455, 4]"
69,"[926, 1915, 1921, 1049, 374]"
70,"[1607, 1608, 1538, 1615, 1527]"
71,"[1621, 1897, 1922, 324, 1587]"
72,"[1572, 1250, 436, 383, 625]"
73,"[636, 1247, 1050, 1718, 1721]"
74,"[1066, 653, 1587, 1583, 1586]"
75,"[1907, 1548, 106, 113, 1926]"
76,"[926, 1586, 1157, 1607, 1545]"
77,"[1917, 1915, 1552, 1902, 1543]"
78,"[1601, 1617, 114, 1884, 1619]"
79,"[926, 1618, 1921, 1587, 1545]"
80,"[369, 106, 1910, 114, 372]"
81,"[106, 16, 18, 1194, 1204]"
82,"[116, 1936, 926, 1921, 761]"
83,"[679, 680, 681, 718, 1544]"
84,"[891, 1157, 1607, 886, 783]"
85,"[1676, 926, 251, 1920, 1919]"
86,"[6, 7, 8, 9, 10]"
87,"[1541, 1552, 1902, 1516, 1624]"
88,"[1607, 1157, 1608, 1586, 368]"
89,"[1543, 1900, 426, 1898, 1536]"
90,"[1558, 579, 592, 575, 577]"
91,"[1746, 409, 872, 632, 864]"
92,"[1600, 106, 1910, 1526, 1899]"
93,"[1619, 1558, 1617, 1557, 1618]"
94,"[1617, 478, 1924, 114, 1724]"
95,"[1066, 1897, 1922, 1583, 1586]"
96,"[1543, 1900, 1548, 1931, 1932]"
97,"[1724, 625, 636, 1003, 232]"
98,"[1570, 1536, 1066, 426, 1898]"
99,"[691, 51, 847, 1121, 1175]"
100,"[1907, 1700, 112, 890, 1538]"
101,"[1915, 1543, 1900, 1917, 1552]"
102,"[1607, 1676, 510, 1473, 1495]"
103,"[1915, 374, 1516, 1248, 363]"
104,"[1617, 112, 890, 114, 1618]"
105,"[594, 1540, 1077, 256, 1047]"
106,"[1915, 1543, 1900, 1008, 1544]"
107,"[625, 962, 406, 407, 148]"
