q_id,web_list
1,"[1676, 1252, 768, 1307, 1113]"
2,"[1544, 1072, 1080, 1538, 1615]"
3,"[1655, 1884, 837, 1175, 1281]"
4,"[1917, 1043, 1552, 1902, 426]"
5,"[928, 1538, 1615, 176, 1583]"
6,"[1932, 1721, 108, 426, 1898]"
7,"[744, 1178, 1179, 625, 1916]"
8,"[1673, 1676, 369, 1065, 1674]"
9,"[1587, 1537, 1608, 1025, 935]"
10,"[1543, 1900, 460, 57, 1133]"
11,"[426, 1898, 1917, 16, 18]"
12,"[1523, 426, 1898, 43, 44]"
13,"[1917, 1536, 1033, 1915, 1554]"
14,"[1186, 739, 762, 750, 369]"
15,"[333, 1473, 510, 655, 737]"
16,"[278, 1890, 1595, 737, 1592]"
17,"[1080, 452, 741, 372, 1928]"
18,"[1473, 1201, 1495, 1597, 1252]"
19,"[1902, 1917, 926, 1607, 1516]"
20,"[175, 1533, 43, 1890, 44]"
21,"[1897, 1922, 1917, 1516, 783]"
22,"[1558, 1931, 1557, 1932, 1618]"
23,"[602, 926, 194, 1586, 1931]"
24,"[632, 664, 657, 1746, 1552]"
25,"[1066, 1921, 884, 1890, 1599]"
26,"[1056, 369, 1750, 46, 811]"
27,"[1556, 1607, 1537, 1586, 1544]"
28,"[1885, 96, 1530, 1613, 1598]"
29,"[625, 1926, 1897, 1922, 1534]"
30,"[1242, 1243, 1245, 424, 1133]"
31,"[326, 175, 201, 914, 915]"
32,"[1552, 1902, 1548, 1884, 114]"
33,"[1246, 1249, 337, 1517, 622]"
34,"[114, 1617, 871, 522, 739]"
35,"[363, 741, 757, 400, 768]"
36,"[1628, 903, 1608, 1538, 1615]"
37,"[1158, 768, 745, 750, 372]"
38,"[741, 757, 770, 372, 363]"
39,"[1897, 1922, 1917, 1548, 1153]"
40,"[1931, 1531, 1721, 687, 349]"
41,"[453, 848, 1516, 707, 1318]"
42,"[1664, 1072, 1542, 1535, 1903]"
43,"[625, 403, 926, 452, 448]"
44,"[680, 681, 718, 1618, 1324]"
45,"[792, 211, 1616, 1671, 1745]"
46,"[341, 943, 1297, 737, 886]"
47,"[1532, 1589, 1904, 1489, 1526]"
48,"[1589, 1904, 1113, 1884, 1886]"
49,"[1901, 1132, 58, 106, 1548]"
50,"[1583, 406, 407, 602, 1607]"
51,"[757, 770, 1158, 762, 739]"
52,"[1917, 1932, 625, 1516, 1549]"
53,"[1157, 1676, 1307, 1113, 1252]"
54,"[688, 1544, 1543, 1900, 107]"
55,"[757, 368, 762, 1158, 739]"
56,"[1532, 1589, 1904, 1897, 1922]"
57,"[363, 741, 768, 757, 400]"
58,"[680, 681, 718, 926, 886]"
59,"[1246, 1249, 337, 1517, 622]"
60,"[1132, 1602, 1105, 1928, 1157]"
61,"[1186, 1676, 1255, 379, 770]"
62,"[478, 1924, 72, 131, 134]"
63,"[1071, 1618, 1552, 1902, 1917]"
64,"[1627, 1905, 1626, 1621, 1528]"
65,"[1012, 234, 1607, 226, 1686]"
66,"[1552, 1902, 72, 131, 134]"
67,"[884, 1890, 1534, 1535, 1903]"
68,"[37, 658, 1721, 1247, 1196]"
69,"[177, 886, 737, 885, 286]"
70,"[1627, 1905, 1542, 1586, 1157]"
71,"[928, 175, 1118, 326, 1618]"
72,"[96, 1715, 604, 1516, 673]"
73,"[1558, 1203, 411, 412, 999]"
74,"[1607, 655, 1520, 1620, 932]"
75,"[1032, 1921, 1066, 406, 407]"
76,"[324, 1921, 1587, 1583, 936]"
77,"[1900, 990, 886, 885, 1930]"
78,"[1557, 326, 1534, 1604, 110]"
79,"[1049, 1586, 161, 923, 1520]"
80,"[1526, 1899, 1617, 1600, 1596]"
81,"[1246, 1249, 337, 1517, 622]"
82,"[903, 1106, 1915, 679, 680]"
83,"[54, 1721, 697, 1157, 623]"
84,"[884, 1056, 368, 1062, 369]"
85,"[962, 722, 625, 374, 1590]"
86,"[11, 12, 35, 36, 38]"
87,"[1549, 1017, 1553, 1628, 1196]"
88,"[1538, 1615, 1556, 372, 1537]"
89,"[1917, 884, 1607, 891, 1281]"
90,"[578, 585, 580, 1565, 1721]"
91,"[865, 96, 1516, 1552, 1902]"
92,"[114, 1617, 369, 1536, 372]"
93,"[783, 935, 1555, 1550, 1932]"
94,"[1533, 1884, 1889, 1070, 418]"
95,"[1587, 1917, 1193, 1543, 1900]"
96,"[907, 83, 453, 349, 78]"
97,"[808, 239, 236, 446, 661]"
98,"[1542, 1544, 1545, 1042, 1072]"
99,"[1605, 91, 1594, 660, 1041]"
100,"[1615, 1533, 1537, 1617, 1556]"
101,"[1902, 1561, 722, 1092, 1516]"
102,"[1252, 1157, 653, 333, 1123]"
103,"[403, 761, 1619, 625, 1552]"
104,"[1070, 1884, 1528, 1906, 1113]"
105,"[1549, 284, 1141, 1017, 318]"
106,"[1607, 1552, 1902, 373, 1324]"
107,"[636, 232, 146, 145, 1247]"
108,"[1897, 1922, 660, 1605, 1041]"
109,"[1607, 1052, 1553, 1628, 1543]"
110,"[1598, 1080, 1066, 1935, 1086]"
111,"[2, 3, 1921, 1545, 1935]"
112,"[1909, 1536, 1041, 1542, 1043]"
113,"[1196, 657, 663, 662, 1552]"
114,"[1917, 1897, 1922, 1908, 1518]"
115,"[1543, 1900, 426, 1898, 1281]"
116,"[166, 1672, 1586, 1029, 1908]"
117,"[1180, 327, 1556, 693, 1670]"
118,"[768, 1158, 739, 1186, 762]"
